"医薬品
コード",医薬品名,"薬価基準収載
医薬品コード",薬価,"後発品
区分",総計
620008430,グリセリン「ＪＧ」,2357700X1485,1.2 ,0,"33,971 "
620486901,グリセリン浣腸液５０％「ＯＲＹ」　１２０ｍＬ,2357701K8169,138.7 ,1,"30,465 "
620001409,グリセリン（山善）,2357700X1280,1.1 ,0,"29,064 "
662350046,グリセリン浣腸「ヤマゼン」　５０％６０ｍＬ,2357701K6077,109.7 ,1,"28,257 "
620484901,グリセリン浣腸液５０％「東豊」　６０ｍＬ,2357701K6204,113.8 ,0,"27,672 "
620007629,グリセリン浣腸液５０％「マイラン」　４０ｍＬ,2357701K4082,100.0 ,1,"26,437 "
620484801,グリセリン浣腸液５０％「ムネ」６０ｍＬ,2357701K6220,109.7 ,1,"26,011 "
660431013,グリセリン〈ハチ〉,2357700X1191,1.2 ,0,"23,768 "
620007631,グリセリン浣腸液５０％「マイラン」　１２０ｍＬ,2357701K8150,138.7 ,1,"21,303 "
620493609,ビサコジル坐剤１０ｍｇ「タナベ」,2359700J2017,19.3 ,0,"19,457 "
620001407,グリセリン（東海製薬）,2357700X1213,1.1 ,0,"16,800 "
620487401,ケンエーＧ浣腸液５０％　１５０ｍＬ,2357701K9165,168.0 ,1,"13,200 "
662350045,グリセリン浣腸「ヤマゼン」　５０％３０ｍＬ,2357701K3051,71.9 ,1,"11,744 "
660421014,デルデランス坐剤１０　１０ｍｇ,2359700J2017,19.3 ,0,"11,214 "
662350031,グリセリン浣腸「オヲタ」１５０　５０％１５０ｍＬ,2357701K9041,168.0 ,1,"9,545 "
620483501,グリセリン浣腸液５０％「ムネ」３０ｍＬ,2357701K3132,71.9 ,1,"7,746 "
620485901,グリセリン浣腸液５０％「東豊」　１１０ｍＬ,2357701K7049,123.4 ,0,"7,199 "
662350088,グリセリン「昭和」（Ｍ）,2357700X1019,1.0 ,0,"7,088 "
662350105,ビサコジル坐剤　２ｍｇ,2359700J1010,19.3 ,0,"7,030 "
662350047,グリセリン浣腸「ヤマゼン」　５０％１２０ｍＬ,2357701K8061,138.7 ,1,"6,034 "
620484201,グリセリン浣腸液５０％「東豊」　４０ｍＬ,2357701K4090,92.1 ,0,"5,091 "
620486001,グリセリン浣腸液５０％「ムネ」１２０ｍＬ,2357701K8185,138.7 ,1,"4,931 "
662350085,グリセリン恵美須,2357700X1310,1.1 ,0,"4,174 "
